entity,political_lean,rank_change,total_engagements,engagements_change,posts,avg_engagements,total_views,Non_Twitter_Views,platforms
Planned Parenthood,Left-Leaning,51,29947,8276,12,2496,258503,258503,[TikTok](https://tiktok.com/@plannedparenthood)
Amy Acton,Left-Leaning,,29215,,2,14608,382642,382642,[TikTok](https://www.tiktok.com/@amyactonohio)
John Fredericks,Right-Leaning,-164,29099,-95029,28,1039,429813,429813,[TikTok](https://www.tiktok.com/@jfradioshow)
Forbes,Neutral,118,28939,17924,35,827,1798731,1798731,[TikTok](https://www.tiktok.com/@forbes)
Victor Nieves,Right-Leaning,-13,28919,-10205,15,1928,179445,179445,[TikTok](https://www.tiktok.com/@notvictornieves)
Onegalaxyy,Right-Leaning,174,28828,23364,12,2402,169280,169280,[TikTok](https://www.tiktok.com/@onegalaxyy)
Corruption Tracker,Left-Leaning,,28598,,1,28598,199264,199264,[TikTok](https://www.tiktok.com/@corruption.tracker)
leelorising,Right-Leaning,107,28457,17008,13,2189,184862,184862,[TikTok](https://www.tiktok.com/@leelorising)
Saadia Mirza,Left-Leaning,-229,28448,-175341,23,1237,127712,127712,[TikTok](https://tiktok.com/@saadia___m)
Proud Union Guy,Left-Leaning,58,28108,9444,24,1171,381272,381272,[TikTok](https://tiktok.com/@proudunionguy)
Erika Kirk,Right-Leaning,-210,27975,-130092,1,27975,2503440,2503440,[TikTok](https://www.tiktok.com/@mrserikakirk)
